ID,TITLE,ARTIST,ALBUM,GENRE,YEAR,LOCATION
109,進撃pf-medley20130629巨人,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 2\01. 進撃pf-medley20130629巨人.flac
110,EMAymniam (sm3_Final),Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 2\02. EMAymniam (sm3_Final).flac
111,進撃pf20130218巨人,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 2\03. 進撃pf20130218巨人.flac
112,進撃gt20130218巨人,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 2\04. 進撃gt20130218巨人.flac
113,TWO-lives,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 2\05. TWO-lives.flac
114,進撃st20130629巨人,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 2\06. 進撃st20130629巨人.flac
115,進撃vn-pf20130524巨人,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 2\07. 進撃vn-pf20130524巨人.flac
116,ymniam-MKorch (sm1_Final#2),Mika Kobayashi,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 2\08. ymniam-MKorch (sm1_Final#2).flac
117,進撃pf-adlib-c20130218巨人,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 2\09. 進撃pf-adlib-c20130218巨人.flac
118,進撃pf-adlib-b20130218巨人,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 2\10. 進撃pf-adlib-b20130218巨人.flac
